averageRating,numVotes
8.2,40631
7.3,15872
6.4,21085
7.8,13261
8.1,52324
8.3,103233
7.7,10983
7.6,10007
7.9,83667
8.1,16963
8.1,11514
8.2,35974
8.0,49735
8.2,92984
7.6,15665
8.1,13125
8.3,150055
8.1,74664
8.1,44669
7.5,10547
8.2,24048
8.1,42858
7.9,12151
8.4,20625
7.7,43419
8.0,54734
7.6,12597
7.7,12865
7.3,11190
7.3,11887
8.5,154706
7.5,43174
7.8,60990
8.3,133446
7.5,10756
7.7,16670
7.6,11824
7.9,39780
7.4,16216
7.6,11158
8.2,10912
7.1,21751
7.8,23760
8.0,10770
8.0,12090
7.6,14502
7.8,53415
7.4,10041
7.7,27483
7.9,75568
7.8,13485
8.1,87632
6.8,15787
8.0,24935
7.3,14171
7.7,48329
7.8,40735
7.7,12194
7.7,19550
7.9,29242
7.8,16263
7.9,10545
8.5,200769
7.9,18639
8.0,19425
7.6,11715
7.1,13693
7.6,11494
7.7,16665
7.6,12395
8.1,31905
7.7,11440
7.6,170841
7.9,44992
7.9,18848
7.9,52251
7.8,13359
7.5,11155
7.8,44158
7.9,21869
8.1,272453
7.4,10402
8.1,101071
7.9,17777
7.7,11485
8.0,11963
8.1,25013
7.9,39879
8.0,359578
7.8,11887
7.6,15353
7.8,84066
7.5,17052
8.0,82793
8.5,188865
7.9,50050
7.6,10851
7.9,60045
7.4,121989
8.1,114463
8.1,25603
7.5,11182
8.3,375505
7.2,112668
7.5,14107
7.7,19811
7.8,17898
8.0,143479
7.7,11318
7.7,14435
8.0,22545
7.4,30075
7.3,21999
7.3,123485
8.5,492401
7.3,18404
7.4,12413
7.7,20925
7.6,14804
7.9,14074
7.5,10190
7.2,21746
6.4,75899
8.3,24292
7.7,13257
7.1,10284
8.1,12188
8.0,19658
7.9,55624
8.0,62841
8.3,133445
7.8,22156
8.0,54669
8.0,39916
7.7,25011
7.6,19159
7.6,11230
7.9,28993
7.7,12663
7.5,11724
8.0,32976
7.7,10064
7.4,13581
8.4,17233
7.6,10028
7.9,31533
8.0,21038
7.5,11010
7.8,13105
7.6,40564
6.5,11124
7.9,22979
7.9,75454
7.7,25795
7.8,20861
8.6,374852
7.8,17748
8.1,17872
7.8,20099
7.9,87346
7.5,17318
8.1,21341
7.1,10514
7.4,20937
7.6,13282
7.8,19989
7.6,16559
7.2,13855
7.9,14651
7.9,38420
7.9,14676
8.0,30218
7.5,13738
7.5,15398
7.6,14319
7.8,35054
8.3,134002
7.6,24357
8.0,10305
7.6,11150
7.8,10592
7.8,26312
8.2,27139
8.0,119549
8.2,107192
7.5,18365
7.0,11492
7.5,12359
8.3,12813
8.2,12378
8.0,32788
7.9,13801
7.4,15072
7.3,14791
8.1,150015
7.7,11684
8.2,26874
8.2,113323
7.9,22457
7.3,136881
7.3,10030
7.6,10555
7.9,50993
8.0,23503
7.9,11050
8.3,16797
8.2,141153
7.2,13169
7.1,11750
8.4,186898
7.7,15637
8.4,21103
7.7,68213
7.4,121073
7.2,28435
8.2,27017
7.7,73863
8.1,10439
7.8,18723
7.2,12701
8.1,19008
8.0,117249
8.0,94019
7.2,23897
7.8,12097
6.6,12046
7.9,92831
8.3,61434
7.6,11818
8.1,16726
7.0,12203
7.8,32672
8.3,204883
8.2,21010
8.0,21622
7.6,40578
7.2,29160
7.1,15144
6.9,19385
7.3,17830
7.0,13875
7.3,117869
7.7,11915
8.0,120544
8.1,50299
7.6,34641
7.6,11416
8.0,49092
8.2,46517
8.3,18819
7.5,15564
7.9,13600
7.1,30752
7.2,27062
7.7,23277
7.0,24229
8.0,58496
8.2,145883
7.6,26813
7.7,14416
8.1,133068
8.4,414817
7.7,55358
8.4,13185
7.4,20132
8.6,295576
7.6,14660
8.0,54637
7.2,18618
7.6,30835
6.8,13782
8.5,13719
7.6,12359
7.2,14026
7.7,17927
8.2,23880
7.9,37999
7.2,14572
6.7,19802
7.6,17304
7.3,114643
7.7,24794
7.7,19947
7.7,14627
8.0,77295
8.6,16095
7.0,10659
8.3,12838
8.6,20248
7.7,78657
7.1,31888
7.8,11474
7.4,59110
7.1,31427
8.3,10104
6.8,22977
7.5,12021
8.2,15463
6.5,10169
7.9,10785
7.6,42972
7.6,32105
7.0,12987
7.7,42389
8.0,76233
7.4,22748
7.5,53760
7.3,16053
7.9,75440
7.8,59182
8.3,16846
8.9,636227
7.6,17173
7.5,26356
8.1,191931
8.2,12771
7.0,24911
7.2,12899
7.6,14925
8.1,41533
8.3,13545
7.2,12900
7.8,17342
7.5,11190
8.1,39944
7.3,10987
8.4,163772
8.2,149699
8.2,87754
8.1,25535
8.4,97941
7.4,23743
7.1,10951
8.0,19176
7.9,14518
6.4,21282
8.0,42208
7.6,12489
7.3,19453
7.1,19640
6.7,18462
6.9,21318
8.1,31117
7.9,12691
4.0,34549
8.0,94562
8.3,335140
7.1,11870
9.0,65165
8.0,55772
8.5,10367
8.1,207618
7.4,11377
7.9,25909
7.9,13895
7.0,14539
8.3,281290
7.2,11264
7.3,11674
7.7,17812
7.4,14484
8.1,96263
8.0,52627
7.2,127514
8.2,229047
7.6,12958
7.7,24259
7.9,67337
8.3,11169
8.6,29727
7.5,30881
6.9,13591
8.3,151092
7.9,24045
8.0,61188
7.0,11154
8.1,25552
8.1,24610
6.3,15208
7.7,83165
7.2,12621
8.1,16127
6.6,18929
7.7,28258
7.8,12518
8.5,561548
8.3,15040
7.9,116925
7.2,12941
7.6,34175
7.5,16196
8.6,13678
7.3,13923
7.8,18804
7.7,155827
7.8,13480
7.2,12113
7.5,43202
8.0,72137
7.8,24687
8.2,64331
7.8,34759
7.3,16189
7.2,143588
7.9,18266
7.1,17669
7.1,11722
7.8,16569
8.1,20819
7.5,13980
8.2,20496
7.5,90902
8.2,102389
7.0,17266
7.8,15003
7.7,24626
7.1,18795
8.0,13689
7.9,10755
8.1,10598
7.3,138392
8.7,29730
7.2,11093
7.1,17429
8.1,27926
8.3,27387
8.3,251656
7.6,86625
7.8,50198
8.1,64571
7.9,68801
8.1,14995
7.7,15200
7.3,14187
7.5,18564
7.5,11357
8.1,29378
8.3,280549
8.0,24721
8.1,46870
8.1,27086
7.9,15670
8.4,33909
8.0,102060
7.7,160614
7.9,62787
7.0,27406
8.4,427541
7.4,109725
8.0,21149
8.2,211681
7.5,32569
7.8,18110
7.4,15937
7.5,35772
7.3,22033
6.9,16546
7.2,12105
7.6,25949
8.1,19686
6.7,14617
